
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|      525       |  1.9143e+023   |  6.8413e+094   |
|      526       |  7.7665e+022   |  6.8413e+094   |
|      527       |   3.145e+022   |  6.8413e+094   |
|      528       |  1.2711e+022   |  6.8413e+094   |
|      529       |  5.1278e+021   |  6.8413e+094   |
|      530       |  2.0647e+021   |  6.8413e+094   |
|      531       |  8.2976e+020   |  6.8413e+094   |
|      532       |  3.3284e+020   |  6.8413e+094   |
|      533       |  1.3326e+020   |  6.8413e+094   |
|      534       |  5.3254e+019   |  6.8413e+094   |
|      535       |  2.1242e+019   |  6.8413e+094   |
|      536       |   8.457e+018   |  6.8413e+094   |
|      537       |  3.3607e+018   |  6.8413e+094   |
|      538       |   1.333e+018   |  6.8413e+094   |
|      539       |  5.2775e+017   |  6.8413e+094   |
|      540       |  2.0855e+017   |  6.8413e+094   |
|      541       |  8.2263e+016   |  6.8413e+094   |
|      542       |  3.2388e+016   |  6.8413e+094   |
|      543       |  1.2728e+016   |  6.8413e+094   |
|      544       |  4.9928e+015   |  6.8413e+094   |
|      545       |  1.9549e+015   |  6.8413e+094   |
|      546       |  7.6402e+014   |  6.8413e+094   |
|      547       |  2.9805e+014   |  6.8413e+094   |
|      548       |  1.1606e+014   |  6.8413e+094   |
|      549       |   4.511e+013   |  6.8413e+094   |
|      550       |  1.7502e+013   |  6.8413e+094   |
|      551       |  6.7779e+012   |  6.8413e+094   |
|      552       |  2.6201e+012   |  6.8413e+094   |
|      553       |   1.011e+012   |  6.8413e+094   |
|      554       |  3.8942e+011   |  6.8413e+094   |
|      555       |  1.4972e+011   |  6.8413e+094   |
|      556       |  5.7461e+010   |  6.8413e+094   |
|      557       |  2.2013e+010   |  6.8413e+094   |
|      558       |  8.4178e+009   |  6.8413e+094   |
|      559       |  3.2132e+009   |  6.8413e+094   |
|      560       |  1.2244e+009   |  6.8413e+094   |
|      561       |  4.6569e+008   |  6.8413e+094   |
|      562       |  1.7681e+008   |  6.8413e+094   |
|      563       |  6.7012e+007   |  6.8413e+094   |
|      564       |  2.5353e+007   |  6.8413e+094   |
|      565       |  9.5747e+006   |  6.8413e+094   |
|      566       |  3.6096e+006   |  6.8413e+094   |
|      567       |  1.3584e+006   |  6.8413e+094   |
|      568       |  5.1028e+005   |  6.8413e+094   |
|      569       |  1.9136e+005   |  6.8413e+094   |
|      570       |        71632   |  6.8413e+094   |
|      571       |        26768   |  6.8413e+094   |
|      572       |       9985.1   |  6.8413e+094   |
|      573       |       3718.2   |  6.8413e+094   |
|      574       |       1382.2   |  6.8413e+094   |
|      575       |       512.89   |  6.8413e+094   |
|      576       |       189.99   |  6.8413e+094   |
|      577       |       70.257   |  6.8413e+094   |
|      578       |       25.935   |  6.8413e+094   |
|      579       |       9.5575   |  6.8413e+094   |
|      580       |        3.516   |  6.8413e+094   |
|      581       |       1.2912   |  6.8413e+094   |
|      582       |      0.47336   |  6.8413e+094   |
|      583       |      0.17324   |  6.8413e+094   |
|      584       |     0.063294   |  6.8413e+094   |
|      585       |     0.023085   |  6.8413e+094   |
|      586       |    0.0084052   |  6.8413e+094   |
|      587       |    0.0030551   |  6.8413e+094   |
|      588       |    0.0011086   |  6.8413e+094   |
|      589       |   0.00040158   |  6.8413e+094   |
|      590       |   0.00014522   |  6.8413e+094   |
|      591       |  5.2428e-005   |  6.8413e+094   |
|      592       |  1.8895e-005   |  6.8413e+094   |
|      593       |  6.7984e-006   |  6.8413e+094   |
|      594       |  2.4419e-006   |  6.8413e+094   |
|      595       |  8.7564e-007   |  6.8413e+094   |
|      596       |  3.1346e-007   |  6.8413e+094   |
|      597       |  1.1203e-007   |  6.8413e+094   |
|      598       |  3.9969e-008   |  6.8413e+094   |
|      599       |  1.4236e-008   |  6.8413e+094   |
|      600       |  5.0623e-009   |  6.8413e+094   |
|      601       |  1.7971e-009   |  6.8413e+094   |
|      602       |  6.3691e-010   |  6.8413e+094   |
|      603       |  2.2535e-010   |  6.8413e+094   |
|      604       |  7.9602e-011   |  6.8413e+094   |

 Итогое количество шагов = 604
