
 При x = 213 и eps = 1e-010 таблица выглядит следующим образом: 
|________i_______|________a_______|________S_______|
|      123       |    2.51e+083   |  5.7941e+083   |
|      124       |  4.3463e+083   |   1.014e+084   |
|      125       |  7.4653e+083   |  1.7606e+084   |
|      126       |   1.272e+084   |  3.0326e+084   |
|      127       |  2.1502e+084   |  5.1827e+084   |
|      128       |  3.6059e+084   |  8.7887e+084   |
|      129       |  6.0002e+084   |  1.4789e+085   |
|      130       |  9.9066e+084   |  2.4695e+085   |
|      131       |  1.6231e+085   |  4.0926e+085   |
|      132       |  2.6389e+085   |  6.7315e+085   |
|      133       |   4.258e+085   |  1.0989e+086   |
|      134       |  6.8188e+085   |  1.7808e+086   |
|      135       |  1.0838e+086   |  2.8646e+086   |
|      136       |  1.7099e+086   |  4.5746e+086   |
|      137       |  2.6779e+086   |  7.2525e+086   |
|      138       |  4.1633e+086   |  1.1416e+087   |
|      139       |  6.4256e+086   |  1.7841e+087   |
|      140       |  9.8459e+086   |  2.7687e+087   |
|      141       |  1.4979e+087   |  4.2666e+087   |
|      142       |  2.2627e+087   |  6.5293e+087   |
|      143       |  3.3938e+087   |  9.9231e+087   |
|      144       |  5.0549e+087   |  1.4978e+088   |
|      145       |  7.4767e+087   |  2.2455e+088   |
|      146       |  1.0983e+088   |  3.3437e+088   |
|      147       |  1.6022e+088   |  4.9459e+088   |
|      148       |  2.3214e+088   |  7.2673e+088   |
|      149       |  3.3408e+088   |  1.0608e+089   |
|      150       |  4.7756e+088   |  1.5384e+089   |
|      151       |   6.781e+088   |  2.2165e+089   |
|      152       |  9.5648e+088   |  3.1729e+089   |
|      153       |  1.3403e+089   |  4.5132e+089   |
|      154       |  1.8658e+089   |   6.379e+089   |
|      155       |  2.5805e+089   |  8.9595e+089   |
|      156       |   3.546e+089   |  1.2506e+090   |
|      157       |  4.8414e+089   |  1.7347e+090   |
|      158       |   6.568e+089   |  2.3915e+090   |
|      159       |   8.854e+089   |  3.2769e+090   |
|      160       |  1.1861e+090   |   4.463e+090   |
|      161       |  1.5789e+090   |  6.0418e+090   |
|      162       |  2.0887e+090   |  8.1306e+090   |
|      163       |  2.7462e+090   |  1.0877e+091   |
|      164       |  3.5885e+090   |  1.4465e+091   |
|      165       |  4.6605e+090   |  1.9126e+091   |
|      166       |   6.016e+090   |  2.5142e+091   |
|      167       |  7.7191e+090   |  3.2861e+091   |
|      168       |   9.845e+090   |  4.2706e+091   |
|      169       |  1.2482e+091   |  5.5187e+091   |
|      170       |  1.5731e+091   |  7.0918e+091   |
|      171       |  1.9709e+091   |  9.0627e+091   |
|      172       |  2.4549e+091   |  1.1518e+092   |
|      173       |    3.04e+091   |  1.4558e+092   |
|      174       |  3.7427e+091   |    1.83e+092   |
|      175       |  4.5815e+091   |  2.2882e+092   |
|      176       |  5.5761e+091   |  2.8458e+092   |
|      177       |  6.7481e+091   |  3.5206e+092   |
|      178       |  8.1204e+091   |  4.3326e+092   |
|      179       |  9.7168e+091   |  5.3043e+092   |
|      180       |  1.1562e+092   |  6.4605e+092   |
|      181       |  1.3681e+092   |  7.8287e+092   |
|      182       |    1.61e+092   |  9.4386e+092   |
|      183       |  1.8841e+092   |  1.1323e+093   |
|      184       |  2.1929e+092   |  1.3516e+093   |
|      185       |  2.5385e+092   |  1.6054e+093   |
|      186       |  2.9226e+092   |  1.8977e+093   |
|      187       |  3.3468e+092   |  2.2324e+093   |
|      188       |   3.812e+092   |  2.6136e+093   |
|      189       |  4.3188e+092   |  3.0454e+093   |
|      190       |  4.8671e+092   |  3.5321e+093   |
